invoice_id,supplier_gstin,buyer_gstin,taxable_value,gst_amount,period,mismatch_type,mismatch_flag
INV0,13HQtV23521NZ4,64qXfa12882QZ5,4119,741.42,2024-01,LATE_FILING,True
INV1,79WWDe75723AZ7,14DbyV16216SZ5,67532,12155.76,2024-03,NONE,False
INV2,87DQFD28049yZ8,38OXwq99935HZ9,53975,9715.5,2024-02,NONE,False
INV3,65fmZE98080eZ0,50faoW78282yZ0,97549,17558.82,2024-02,NONE,False
INV4,18qCFh12925MZ4,52OGMG87584GZ2,78442,14119.56,2024-03,HIGH_VALUE_SUSPICIOUS,True
INV5,35hTYr06161aZ7,89QDoN54467VZ8,60262,10847.16,2024-02,NONE,False
INV6,63bxZj46229sZ9,63NSPX61200yZ9,24227,4360.86,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV7,11cyJh50623cZ6,97edol45538yZ6,79824,14368.32,2024-03,NONE,False
INV8,54PGNn44291fZ7,27HXUo86579JZ6,7588,1365.84,2024-01,NONE,False
INV9,23HFjo64734AZ2,47VrGh15103XZ4,62659,11278.62,2024-01,NONE,False
INV10,81JbJs71787cZ6,06LaHj10459aZ6,55027,9904.86,2024-01,NONE,False
INV11,75cYxe45832BZ2,74Avec47845TZ5,72895,13121.1,2024-01,NONE,False
INV12,30gZFr41292mZ4,49TDNt56239XZ4,37039,6667.02,2024-02,NONE,False
INV13,83XkMS09391SZ2,16vdrd77675WZ4,74424,13396.32,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV14,65Vnts35617WZ9,96FfpY79250HZ2,85681,15422.58,2024-02,NONE,False
INV15,74vehE67338iZ0,11cyJh50623cZ6,64885,11679.3,2024-01,NONE,False
INV16,07BhXn85473OZ2,06LaHj10459aZ6,27608,4969.44,2024-02,NO_GSTR1,True
INV17,66uzor12686YZ1,90pRLg42834WZ0,91705,16506.9,2024-02,NONE,False
INV18,78EGaQ48136gZ7,00JBuT08718YZ8,53918,9705.24,2024-02,NONE,False
INV19,18AfHP63416JZ1,78EGaQ48136gZ7,24324,4378.32,2024-02,NONE,False
INV20,86oYYX24642WZ7,31UMZj57050jZ3,5027,904.86,2024-02,NONE,False
INV21,52OGMG87584GZ2,29BciA37386oZ7,51803,9324.54,2024-02,NONE,False
INV22,27IyIS69304SZ4,25mbLX75451dZ1,17007,3061.26,2024-02,NONE,False
INV23,60PWLC47353UZ0,22pMst60691cZ2,18365,3305.7,2024-03,NONE,False
INV24,63bxZj46229sZ9,65KyZG06284ZZ3,13442,2419.56,2024-02,NONE,False
INV25,69ZMcE69251IZ1,76CcTK55985cZ7,53555,9639.9,2024-01,NONE,False
INV26,17nhzK57655qZ0,38tUOw83036SZ5,58541,10537.38,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV27,45gkMe13523AZ1,52gKST29865uZ4,46523,8374.14,2024-01,NONE,False
INV28,46stGa31957gZ7,01zTkl97098AZ9,28559,5140.62,2024-02,NO_GSTR1,True
INV29,06fxbZ47378sZ3,56RiXJ29300GZ9,76884,13839.12,2024-01,NONE,False
INV30,81uQeA78791VZ1,70XXCS61879rZ8,69057,12430.26,2024-03,NONE,False
INV31,06Gnqc74236gZ2,12IKdG33003NZ4,36375,6547.5,2024-02,NONE,False
INV32,75CCqT63479EZ4,89dEWk66672BZ6,43469,7824.42,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV33,53zMhe09359FZ3,47vhQo89178XZ5,39451,7101.18,2024-02,NONE,False
INV34,11fyjD01194EZ8,31OdAh41865DZ0,25874,4657.32,2024-03,NONE,False
